latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.04031,-77.49902,301.84,1.01,1.01,2025-03-25,0228,T,45,6.1NRT,291.75,3.93,N
20.23616,-76.92883,302.58,1.04,1.02,2025-03-25,0228,T,50,6.1NRT,292.02,4.44,N
20.47002,-76.11165,304.81,1.12,1.06,2025-03-25,0228,T,29,6.1NRT,292.19,5.87,N
20.46737,-76.13264,311.42,1.12,1.05,2025-03-25,0228,T,81,6.1NRT,292.32,11.26,N
20.47668,-76.13399,315.23,1.12,1.05,2025-03-25,0228,T,91,6.1NRT,292.44,14.6,N
20.76271,-77.80505,304.12,1.01,1,2025-03-25,0228,T,37,6.1NRT,289.28,5.55,N
20.76142,-77.81449,326.14,1.01,1,2025-03-25,0228,T,100,6.1NRT,290.59,23.97,N
38.15023,-96.27662,305.11,4.68,1.98,2025-03-25,0234,T,19,6.1NRT,280.41,93.27,N
39.31661,-96.01081,306.86,4.17,1.89,2025-03-25,0234,T,49,6.1NRT,270.06,93.09,N
22.44243,-80.57896,301.97,1.08,1.04,2025-03-25,0230,T,26,6.1NRT,290.57,5.37,N
33.09929,-85.27931,307.17,1.31,1.13,2025-03-25,0232,T,71,6.1NRT,282.47,15.27,N
33.10917,-85.28177,306.82,1.31,1.13,2025-03-25,0232,T,69,6.1NRT,281.88,15,N
17.83772,-93.1245,328.44,3.55,1.77,2025-03-25,0406,T,100,6.1NRT,289.39,166.42,N
17.89403,-93.19597,312.81,3.51,1.76,2025-03-25,0406,T,85,6.1NRT,289.17,65.9,N
17.90795,-93.1713,308.51,3.53,1.77,2025-03-25,0406,T,72,6.1NRT,288.76,54.16,N
17.90493,-93.20399,308.5,3.51,1.76,2025-03-25,0406,T,75,6.1NRT,287.75,52.08,N
18.82177,-98.91254,307.18,1.36,1.15,2025-03-25,0406,T,71,6.1NRT,288.93,11.68,N
19.00519,-99.07377,304.64,1.33,1.14,2025-03-25,0406,T,61,6.1NRT,269.31,13.31,N
19.39216,-102.7102,371.07,1,1,2025-03-25,0406,T,100,6.1NRT,298.36,116.45,N
19.39087,-102.71947,391.7,1,1,2025-03-25,0406,T,100,6.1NRT,302.36,203.48,N
19.40096,-102.71159,369.71,1,1,2025-03-25,0406,T,100,6.1NRT,295.89,111.92,N
